Label,Subtype Type,Tags,Summary,Live on-chain,Description,URL,Image,Main Ecosystem,Twitter,Community,Whitepaper,Documentation,Confidence Level,Contact Info,Geographic Focus,v1,v2,v3
$ACRE,Token,Governance,Governance token for AcreDAO investment vehicle,Yes,,,,Ethereum,,,,,,,,0,0,1
$BCT (Base Carbon Tonne),Token,Carbon,Tokenized carbon credits intended to represent a floor value for global carbon markets.,Yes,,https://coinmarketcap.com/currencies/toucan-protocol-base-carbon-tonne/,,Polygon,,,,,,,,1,1,1
$BTIKI (Blue Tiki),Token,Plastic,"Blue Tiki is a social token that rewards the movement of eco-conscious Future Fighters who want to change the world, and get rewarded in the process. The token lives on the carbon negative blockchain Celo.",Yes,,https://www.btiki.com/,,Celo,,,,,,,,0,1,1
$BYEBYE (Bye Bye Plastics),Token,Plastic,Social token from the international DJ Blondish's Bye Bye Plastic Foundation,,,,,Celo,,,,,,,,0,0,1
$CUT,Token,Carbon,Tokenized carbon credits intended to represent a floor value for global carbon markets.,Yes,,https://www.cut.eco/,,Ethereum,,,,,,,,1,1,1
$Franklin,Token,Biodiversity,Token from SimplexDNA associated with biodiversity sampling and analysis,,,,,Celo,,,,,,,,0,1,1
$GNT (Goddess Nature Token),Token,Carbon,Flagship token from Flow Carbon,Yes,,,,Celo,,,,,,,,0,1,1
$IOEN (Internet of Energy),Token,Energy,,Yes,,,,Polygon,,,,,,,,0,1,1
$KLIMA,Token,Carbon,Governance token for KlimaDAO with staking and synthetics,Yes,,https://coinmarketcap.com/currencies/klimadao/,,Polygon,,,,,,,,1,1,1
$LIKK (Liquid Carbon Credits),Token,Carbon,Tokenized Carbon Credit,,,https://www.likvidi.com/carbon-credits/,,Binance,,,,,,,,1,1,1
$MCO2,Token,Carbon,REDD+ carbon credits sourced from the Amazon Rainforest.,Yes,,https://coinmarketcap.com/currencies/moss-carbon-credit/,,Celo,,,,,,,,1,1,1
$NCT (Nature Carbon Tonne),Token,Carbon,Toucan Pool of strictly nature-based carbon credits,Yes,,https://docs.toucan.earth/protocol/pool/pool-parties/nct-pool-party-report,,Celo,,,,,,,,1,1,1
$PLASTIK (Plastiks),Token,Plastic,Utility token used to transact on Plastiks NFT marketplace,Yes,,,,Celo,,,,,,,,0,1,1
$POWR,Token,Energy,"We help people transact energy, trade environmental commodities and invest in renewables.‍",Yes,,,,Ethereum,,,,,,,,0,0,1
$RVRS (Reverse Climate Change),Token,Carbon | Tokenization,,Yes,,https://reverseclimatechange.com/,,Polygon,,,,,,,,1,1,1
$UPCO2 (Universal Carbon),Token,Carbon,,Yes,,https://universalcarbon.com/,,Web2,,,,,,,,1,1,1
$WATTZ,Token,Energy,,Yes,,,,Algorand,,,,,,,,0,1,1
a16z,Investor,Funding,,,,,https://a16zcrypto.com/wp-content/uploads/2022/04/a16z-crypto-Logo-lc_Solid.png,,,,,,,,,0,0,1
Absurd Arboretum,NFT,Tree Planting,,Yes,,https://ab-ar.art/,https://secureservercdn.net/198.71.233.181/kxy.a3b.myftpupload.com/wp-content/uploads/2021/06/ab-ar_logo-06-%E6%B7%BA%E9%BB%83.png?time=1657486561,Ethereum,https://twitter.com/absurdarboretum,,,,,,,1,1,1
